"Qty";"Value";"Device";"Package";"Parts";"Description";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"POPULARITY";
"6";"";"PINHD-1X2";"1X02";"IRLED1, IRLED2, JP1, JP2, PHOTO1, PHOTO2";"PIN HEADER";"";"";"";"";"";"";"98";
"1";"";"PINHD-1X6";"1X06";"JP5";"PIN HEADER";"";"";"";"";"";"";"79";
"2";"10K";"CRCW080510K0FKEAC";"RESC2012X60N";"R3, R8";"Thick Film Resistors - SMD 1/8Watt 10Kohms 1% Commercial Use";"Thick Film Resistors - SMD 1/8Watt 10Kohms 1% Commercial Use";"0.6mm";"Vishay";"CRCW080510K0FKEAC";"71-CRCW080510K0FKEAC";"https://www.mouser.co.uk/ProductDetail/Vishay-Dale/CRCW080510K0FKEAC?qs=E3Y5ESvWgWORadmUijPtxQ%3D%3D";"";
"2";"1K";"CRS0805-FX-1001ELF";"RESC2012X60N";"R4, R7";"1k 0805 Thick Film Anti Surge Fixed Resistor +/-1% 0.25W - CRS0805-FX-1001ELF";"1k 0805 Thick Film Anti Surge Fixed Resistor +/-1% 0.25W - CRS0805-FX-1001ELF";"0.6mm";"Bourns";"CRS0805-FX-1001ELF";"652-CRS0805FX1001ELF";"https://www.mouser.co.uk/ProductDetail/Bourns/CRS0805-FX-1001ELF?qs=3ZbGupGMFUdZykYWZvWIOw%3D%3D";"";
"5";"330";"CR0805-JW-330ELF";"RESC2012X60N";"R1, R2, R5, R6, R9";"BOURNS - CR0805-JW-330ELF - RES, THICK FILM, 33R, 5%, 0.125W, 0805";"BOURNS - CR0805-JW-330ELF - RES, THICK FILM, 33R, 5%, 0.125W, 0805";"0.6mm";"Bourns";"CR0805-JW-330ELF";"652-CR0805JW-330ELF";"https://www.mouser.com/Search/Refine.aspx?Keyword=652-CR0805JW-330ELF";"";
"1";"DOUT1";"150060RS75000";"LEDC1608X80N";"LED1";"WURTH ELEKTRONIK - 150060RS75000 - LED, 0603, RED, 250MCD, 625NM";"WURTH ELEKTRONIK - 150060RS75000 - LED, 0603, RED, 250MCD, 625NM";"0.8mm";"Wurth Elektronik";"150060RS75000";"710-150060RS75000";"https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/150060RS75000?qs=LlUlMxKIyB3QnmZ3fw%2FVCA%3D%3D";"";
"1";"DOUT2";"150060RS75000";"LEDC1608X80N";"LED2";"WURTH ELEKTRONIK - 150060RS75000 - LED, 0603, RED, 250MCD, 625NM";"WURTH ELEKTRONIK - 150060RS75000 - LED, 0603, RED, 250MCD, 625NM";"0.8mm";"Wurth Elektronik";"150060RS75000";"710-150060RS75000";"https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/150060RS75000?qs=LlUlMxKIyB3QnmZ3fw%2FVCA%3D%3D";"";
"1";"LM393PE3";"LM393PE3";"DIP794W53P254L959H508Q8N";"IC1";"Dual differential comparator, commercial grade";"Dual differential comparator, commercial grade";"5.08mm";"Texas Instruments";"LM393PE3";"595-LM393PE3";"https://www.mouser.co.uk/ProductDetail/Texas-Instruments/LM393PE3?qs=EuM%2FBx4ov4RUODAufCAVgA%3D%3D";"";
"1";"POWER";"150060RS75000";"LEDC1608X80N";"LED3";"WURTH ELEKTRONIK - 150060RS75000 - LED, 0603, RED, 250MCD, 625NM";"WURTH ELEKTRONIK - 150060RS75000 - LED, 0603, RED, 250MCD, 625NM";"0.8mm";"Wurth Elektronik";"150060RS75000";"710-150060RS75000";"https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/150060RS75000?qs=LlUlMxKIyB3QnmZ3fw%2FVCA%3D%3D";"";
"2";"PT6KV-204A2020";"PT6KV-204A2020";"PT6MV103A2020E";"VR3, VR4";"6MM TRIMMER POTENTIOMETER THT";"6MM TRIMMER POTENTIOMETER THT";"4mm";"PIHER";"PT6KV-204A2020";"531-PT6KV-204A2020";"https://www.mouser.co.uk/ProductDetail/Amphenol-Piher/PT6KV-204A2020?qs=DPoM0jnrROXB9pG8c6GveA%3D%3D";"";
